CR-ID,起票日,対象,依頼内容,背景・目的,優先度,工数,金額,料金,請求,納期影響,承認者,ステータス,判断根拠,反映日,反映先
CR-001,2025/12/20,〇〇画面,○○機能追加,△△のため,選択,h,5000/h,無償,,なし,なし,採用,,2025/12/15,07_frontend.md
CR-002,2025/12/29,ダッシュボード,発注人数の表記　件数の横,人数把握のため,Must,,,無償,,,,完了,,2026/01/06,
CR-003,2025/12/29,ダッシュボード,日付選択を追加をカレンダーから選びたいです,現在1日ずつしたずらせないため,,,,無償,,,,完了,,2026/01/06,
CR-004,2025/12/29,ダッシュボード,こちらの画面の印刷したいです,外での状況把握のため,,,,無償,,,,完了,,2026/01/06,
CR-005,2025/12/29,案件打込,備考の近くに破損、未回収のチェック項目が欲しいです,検索かけてすぐ把握したいため,,1,5000,有償,サービス,,,完了,【DB追加】 新たに「破損フラグ」「未回収フラグ」の保存が必要。,2026/01/06,
CR-006,2025/12/29,案件打込,ハーフなどの荷揚げの場合、石膏ボード、建具を選びたいです。,LINEデンプレの精度をあげたいため,,3,15000,有償,検討,,,完了,ロジック変更。 「Aの場合にBを選べる」という依存関係の実装は、マスタデータ構造の見直しが必要。,2026/01/06,
CR-007,2026/01/06,案件打込,案件に写真取り込み機能,クレーム、破損などの確認,,1,5000,有償,検討,,,完了,外部サービス使わず顧客ごとのフォルダで対応,2026/01/12,
CR-008,2026/01/06,ダッシュボード,配置分数表示,一目把握,,,,無償,,,,完了,,,
CR-009,2026/01/06,ダッシュボード,カレンダー移動,操作性UP,,,,無償,,,,完了,,,
CR-010,2026/01/26,外注仕様,請求額合計表示・対象期間・日付・現場・単価・金額,整合性,,,,無償,,,,完了,,,
CR-011,2026/01/26,諸経費仕様,交通費ベタ打ち フリー入力,仕様の確定,,2,10000,有償,検討,,,完了,仕様変更。 これまで「計算」か「マスタ」だったものを「自由入力」にするなら、バリデーション（入力制限）の再設計が必要。,,
CR-012,2026/01/28,レンダリング,高速化,パフォーマンス,,,,無償,,,,完了,,,
CR-013,2026/01/28,一括生成,高速化,パフォーマンス,,,,無償,,,,完了,,,
CR-014,2026/01/28,帳票,文字切れ,既存と違う,,,,無償,,,,完了,,,
CR-015,2026/01/28,帳票,空行マス埋め,見栄え,,,,無償,,,,完了,,,
CR-016,2026/01/28,案件,顧客名の入力補完,操作性,,,,無償,,,,完了,,,
