ID,項目名,分類,概要,CR基準での判定,工数(h),金額(税抜),判定根拠
,【A】機能レベルの独自開発,,,,,,
A-1,枠（スロット）システム,仕様外・新規,1案件で複数時間帯・単価の要員管理。シンプル/スロット2モード,有償,16.0,"80,000",【新規機能】DB設計+ビジネスロジック+UI。CR-024(調整機能4h)より遥かに複雑
A-2,売上分析（グラフ・多次元集計）,将来拡張→前倒し,時間区分別・作業種別集計、月次推移グラフ、Excel出力、決算期対応,有償,20.0,"100,000",【新規画面/機能】CR-027(顧客別集計4h)の5倍規模。複数集計軸+グラフ+Excel出力
A-3,年度アーカイブシステム,仕様外・新規,年度末にデータを別SSにアーカイブ、DB軽量化、閲覧・編集可能フラグ,有償,12.0,"60,000",【新規機能】バッチ処理+別SS操作+進捗管理。CR-013(一括高速化)より大規模
A-4,入金記録・未収管理機能,仕様外・新規,T_Payments新設、分割入金、ステータス自動更新、期限超過フィルタ,有償,12.0,"60,000",【新規機能+DB追加】CR-030(口座情報8h)同等以上。新テーブル+CRUD+ステータス連動
A-5,請求明細テーブル（T_InvoiceLines）,仕様外・新規,ヘッダー/明細分離、様式2/3対応、手入力行対応,有償,8.0,"40,000",【DB追加+ロジック変更】請求書出力の根幹。CR-024(4h)×2相当
A-6,案件ステータス「問題あり」,仕様外・新規,problemステータス追加、視覚的区別,有償,2.0,"10,000",【DB追加】CR-026(保留ステータス1h)同等
A-7,決算期定義（2月決算）,仕様外・新規,3月〜翌2月の年度区切り、集計・アーカイブの基盤,有償,3.0,"15,000",【ロジック変更】集計・アーカイブの年度計算に波及
A-8,自社情報マスター（M_Company）,仕様外・新規,新テーブル+管理画面+請求書出力連携,有償,6.0,"30,000",【新規機能+DB追加】CR-030(口座情報8h)と同カテゴリ。テーブル+画面+連携
,,,,小計A,79.0,"395,000",
,【B】UX/UIの独自設計・作り込み,,,,,,
B-1,デザインシステム（CSS Custom Properties）,仕様外・新規,12画面統一のデザイントークン体系、ブランドカラー、数値表示,有償,8.0,"40,000",【新規機能】フレームワーク不使用で12画面分のデザイン基盤構築
B-2,スケルトンスクリーン,仕様外・新規,シマーローディング、宣言的DSL、テーブル/カード対応,有償,4.0,"20,000",【新規機能】UXコンポーネント新規作成
B-3,SWR的マルチティアキャッシュ,仕様外・新規,sessionStorage+メモリ2層、SWR戦略、LRUキャッシュ,有償,8.0,"40,000",【新規機能】アーキテクチャレベルの設計+実装
B-4,楽観的UI更新,仕様外・新規,即時反映+エラー時ロールバック+キャッシュ即時更新,有償,4.0,"20,000",【新規機能】各CRUD操作に波及する横断的仕組み
B-5,差分DOM更新,仕様外・新規,変更列のみ再描画、フィルタ整合性チェック,有償,4.0,"20,000",【新規機能】パフォーマンス最適化のための設計
B-6,リアルタイムダブルブッキング警告,仕様外・新規,O(1)ルックアップMap構築、視覚的警告、非ブロッキング,有償,6.0,"30,000",【新規機能】データ構造設計+リアルタイム検出ロジック
B-7,NG顧客自動フィルタリング,仕様外・新規,NGリスト登録、候補自動除外,有償,3.0,"15,000",【新規機能+DB追加】マスタ拡張+フィルタロジック
B-8,トースト通知システム,仕様外・新規,4タイプ、アニメーション、自動消去、全画面共通,有償,3.0,"15,000",【新規機能】共通コンポーネント
B-9,モーダルスタック管理,仕様外・新規,5層z-index、ネスト管理、アニメーション、Esc対応,有償,4.0,"20,000",【新規機能】複雑なUI状態管理
B-10,オートコンプリート,仕様拡張,デバウンス、キーボードナビ、ハイライト、クリア、複数画面統一,有償,4.0,"20,000",【機能追加】仕様はスタッフのみ→顧客等に拡張。CR-016/019相当
B-11,印刷対応CSS,仕様外・新規,@media print最適化、改ページ制御,有償,2.0,"10,000",【新規機能】CR-004で要望。印刷レイアウト設計
B-12,カンバンボード型ダッシュボード,仕様拡張,カード情報密度、過不足インジケータ、ホバーUI、日付ピッカー,有償,6.0,"30,000",【機能追加】仕様の6列表示を大幅に拡張したUI設計
B-13,ステータスバッジ・タグ色体系,仕様外・新規,セマンティックカラー体系、作業種別色分け、充足率バッジ,有償,2.0,"10,000",【新規機能】情報設計+カラーシステム
B-14,ローディングオーバーレイ,仕様外・新規,コンテキスト付きメッセージ、二重送信防止連動,有償,2.0,"10,000",【新規機能】UXコンポーネント
B-15,ポーリング更新通知,仕様外・新規,30秒間隔チェック、非破壊的通知,有償,3.0,"15,000",【新規機能】リアルタイム性の実現
B-16,FAB,仕様外・新規,Material Design風、3画面統一配置,無償,0.5,"2,500",軽微なUI調整レベル
B-17,ナビゲーションバー,仕様外・新規,グラデーション、ドロップダウン、アクティブ状態,有償,3.0,"15,000",【新規機能】12画面のナビゲーション設計
